0>67.7740863787
0>1581.3953488372
0>39.5348837209
0>1592.6910299003
0.0044809659>864.1196013289
0.0044809659>864.1196013289
0.0044809659>96.0132890365
0.0044809659>96.0132890365
0.0134428977>84.7176079734
0.0134428977>33.8870431894
0.0134428977>45.1827242525
0.0179238636>62.1262458472
0.0224048295>1587.0431893688
0.0224048295>67.7740863787
0.0224048295>11.2956810631
0.0268857955>84.7176079734
0.0313667614>1592.6910299003
0.0313667614>1592.6910299003
0.0313667614>90.365448505
0.0313667614>90.365448505
0.0403286932>1598.3388704319
0.0403286932>141.196013289
0.0448096591>118.6046511628
0.0448096591>1587.0431893688
0.049290625>1598.3388704319
0.049290625>107.3089700997
0.049290625>107.3089700997
0.049290625>11.2956810631
0.0537715909>1603.9867109635
0.0537715909>158.1395348837
0.0627335227>254.1528239203
0.0627335227>203.3222591362
0.0627335227>180.73089701
0.0627335227>11.2956810631
0.0761764205>1609.634551495
0.0761764205>858.4717607973
0.0761764205>1620.9302325581
0.0806573864>1587.0431893688
0.0896193182>11.2956810631
0.09858125>869.7674418605
0.09858125>1598.3388704319
0.09858125>1598.3388704319
0.09858125>1643.5215946844
0.09858125>321.926910299
0.09858125>304.9833887043
0.1030622159>327.5747508306
0.1075431818>1626.5780730897
0.1075431818>1575.7475083057
0.1075431818>350.1661129568
0.1075431818>282.3920265781
0.1120241477>869.7674418605
0.1120241477>84.7176079734
0.1120241477>1609.634551495
0.1165051136>22.5913621262
0.1209860795>124.2524916944
0.1209860795>101.6611295681
0.1209860795>1620.9302325581
0.1254670455>1632.2259136213
0.1254670455>1547.5083056478
0.1254670455>1570.0996677741
0.1254670455>1620.9302325581
0.1299480114>869.7674418605
0.1299480114>28.2392026578
0.1344289773>869.7674418605
0.1344289773>1541.8604651163
0.1344289773>395.3488372093
0.1344289773>237.2093023256
0.1344289773>1575.7475083057
0.1344289773>1575.7475083057
0.1433909091>33.8870431894
0.147871875>1541.8604651163
0.147871875>1547.5083056478
0.147871875>406.6445182724
0.1523528409>1564.4518272425
0.1523528409>1626.5780730897
0.1568338068>468.7707641196
0.1568338068>463.122923588
0.1568338068>429.2358803987
0.1613147727>1632.2259136213
0.1613147727>480.0664451827
0.1613147727>50.8305647841
0.1613147727>1564.4518272425
0.1613147727>1564.4518272425
